text,label
Tôi rất hài lòng với dịch vụ,positive
This is a perfect item,positive
I love this service,positive
This is a very ugly game,negative
Đây là một sản phẩm rất tệ,negative
Tôi rất thích điện thoại này,positive
Đây là một trò chơi rất kém,negative
This is a perfect app,positive
thiết bị này thật sự rất tệ,negative
Ứng dụng này giúp phân loại cảm xúc rất tốt,positive
Mình không thích cách mô hình xử lý văn bản,negative
Dự án Naive Bayes này rõ ràng hữu ích,positive
Dữ liệu huấn luyện chưa đa dạng lắm,negative
Ứng dụng phân loại cảm xúc hoạt động mượt mà,positive
Mình muốn thêm tính năng chat,positive
Cách dùng còn khó hiểu,negative
Mô hình này thật sự cần nhiều dữ liệu hơn,negative
Tôi ghét thiết bị này,negative
Tôi rất hài lòng với sản phẩm,positive
sản phẩm này thật sự đáng tiền,positive
Tôi rất hài lòng với ứng dụng,positive
I really like this product,positive
I really like this phone,positive
I hate this product,negative
I am very happy with this service,positive
Tôi rất thất vọng với máy tính,negative
Đây là một ứng dụng tốt,positive
I really like this restaurant,positive
Đây là một máy tính thất vọng,negative
This is a amazing game,positive
Tôi rất thích ứng dụng này,positive
Tôi rất thất vọng với ứng dụng,negative
Đây là một trò chơi rất kém,negative
The device works very bad,negative
Tôi ghét điện thoại này,negative
This is a very annoying item,negative
This is a very annoying product,negative
This item is absolutely useless,negative
This product is worst,negative
This phone is absolutely disappointing,negative
Tôi rất thất vọng với ứng dụng,negative
Trải nghiệm với thiết bị rất rất tệ,negative
Đây là một thiết bị hoàn hảo,positive
Tôi rất thích trò chơi này,positive
trò chơi này thật sự rất tệ,negative
This game is broken,negative
Tôi rất hài lòng với thiết bị,positive
I am very disappointed with this device,negative
dịch vụ này thật sự tồi tệ,negative
This is a very ugly item,negative
This is a very worst device,negative
I hate this restaurant,negative
điện thoại này rất tốt,positive
I am very disappointed with this app,negative
thiết bị này rất đáng tiền,positive
I am very happy with this laptop,positive
Trải nghiệm với sản phẩm rất tuyệt vời,positive
Đây là một máy tính rất kém,negative
điện thoại này thật sự rất kém,negative
This product is horrible,negative
Trải nghiệm với điện thoại rất tuyệt vời,positive
This game is brilliant,positive
I am very happy with this restaurant,positive
I really like this product,positive
I love this device,positive
Trải nghiệm với ứng dụng rất đáng tiền,positive
máy tính này rất hoàn hảo,positive
I hate this app,negative
Đây là một sản phẩm không đáng tiền,negative
I am very disappointed with this item,negative
Đây là một điện thoại rất kém,negative
This is a wonderful service,positive
The game works perfect,positive
This is a fantastic product,positive
This device is beautiful,positive
I hate this game,negative
dịch vụ này rất kém,negative
Tôi rất thích điện thoại này,positive
điện thoại này rất rất ổn,positive
I am very happy with this app,positive
Trải nghiệm với trò chơi rất rất kém,negative
ứng dụng này rất tồi tệ,negative
Tôi ghét máy tính này,negative
máy tính này rất xuất sắc,positive
Đây là một điện thoại tốt,positive
Đây là một điện thoại chất lượng cao,positive
dịch vụ này thật sự thất vọng,negative
This device is absolutely amazing,positive
thiết bị này rất rất kém,negative
This movie is absolutely excellent,positive
I hate this product,negative
máy tính này rất rất kém,negative
Tôi ghét thiết bị này,negative
máy tính này rất rất tệ,negative
This item is absolutely bad,negative
This is a fantastic device,positive
Tôi rất thất vọng với điện thoại,negative
This service is absolutely awful,negative
I am very happy with this laptop,positive
Đây là một ứng dụng tuyệt vời,positive
This item is broken,negative
Tôi ghét máy tính này,negative
Tôi rất hài lòng với ứng dụng,positive
This is a superb phone,positive
This laptop is bad,negative
I hate this game,negative
I am very happy with this product,positive
thiết bị này thật sự không đáng tiền,negative
Tôi rất hài lòng với sản phẩm,positive
Trải nghiệm với ứng dụng rất tốt,positive
The app works beautiful,positive
I regret buying this game,negative
Trải nghiệm với điện thoại rất thất vọng,negative
I hate this movie,negative
This is a very cheap product,negative
This restaurant is absolutely broken,negative
Đây là một máy tính kém,negative
ứng dụng này thật sự tốt,positive
Trải nghiệm với thiết bị rất không đáng tiền,negative
Đây là một ứng dụng chất lượng cao,positive
This is a excellent restaurant,positive
Đây là một trò chơi xuất sắc,positive
This restaurant is absolutely poor,negative
Đây là một thiết bị hoàn hảo,positive
Tôi ghét thiết bị này,negative
I hate this restaurant,negative
ứng dụng này thật sự tuyệt vời,positive
I really like this restaurant,positive
Trải nghiệm với trò chơi rất rất tệ,negative
Tôi ghét thiết bị này,negative
I really like this game,positive
dịch vụ này thật sự rất kém,negative
ứng dụng này thật sự rất ổn,positive
Trải nghiệm với ứng dụng rất rất ổn,positive
điện thoại này rất đáng tiền,positive
This is a outstanding device,positive
Đây là một ứng dụng tệ,negative
Tôi rất hài lòng với sản phẩm,positive
I regret buying this phone,negative
I hate this product,negative
thiết bị này thật sự tốt,positive
I am very disappointed with this item,negative
Tôi ghét máy tính này,negative
Tôi rất thất vọng với ứng dụng,negative
Tôi rất hài lòng với trò chơi,positive
Tôi ghét dịch vụ này,negative
I love this game,positive
I really like this service,positive
I am very disappointed with this movie,negative
Đây là một ứng dụng tệ,negative
Tôi rất hài lòng với điện thoại,positive
This is a nice game,positive
Trải nghiệm với máy tính rất tốt,positive
Đây là một dịch vụ thất vọng,negative
Trải nghiệm với ứng dụng rất tốt,positive
sản phẩm này rất rất kém,negative
Trải nghiệm với điện thoại rất rất tệ,negative
I love this restaurant,positive
This is a very disappointing device,negative
This is a nice app,positive
I love this service,positive
thiết bị này thật sự tốt,positive
Trải nghiệm với ứng dụng rất không đáng tiền,negative
This is a very ugly laptop,negative
Tôi rất hài lòng với dịch vụ,positive
This item is superb,positive
This product is absolutely incredible,positive
Đây là một sản phẩm đáng tiền,positive
ứng dụng này rất tồi tệ,negative
This phone is useless,negative
Trải nghiệm với máy tính rất tốt,positive
This is a excellent item,positive
This is a awesome service,positive
The app works very cheap,negative
I am very happy with this restaurant,positive
This is a very useless laptop,negative
This device is absolutely amazing,positive
This app is absolutely brilliant,positive
This is a beautiful app,positive
máy tính này thật sự tuyệt vời,positive
I regret buying this device,negative
I am very disappointed with this phone,negative
Tôi rất thất vọng với sản phẩm,negative
điện thoại này rất đáng tiền,positive
Đây là một sản phẩm tuyệt vời,positive
Trải nghiệm với sản phẩm rất rất kém,negative
I really like this item,positive
This restaurant is absolutely fantastic,positive
I am very disappointed with this laptop,negative
Tôi rất thích dịch vụ này,positive
Tôi rất thất vọng với ứng dụng,negative
The movie works very broken,negative
sản phẩm này thật sự chất lượng cao,positive
This laptop is perfect,positive
Trải nghiệm với ứng dụng rất tồi tệ,negative
This item is perfect,positive
Tôi rất thất vọng với dịch vụ,negative
Tôi rất thích trò chơi này,positive
This product is useless,negative
I hate this item,negative
điện thoại này thật sự đáng tiền,positive
The game works nice,positive
Tôi rất thất vọng với điện thoại,negative
Đây là một thiết bị rất kém,negative
Tôi ghét thiết bị này,negative
Tôi rất thích dịch vụ này,positive
This is a very poor app,negative
I regret buying this device,negative
Đây là một thiết bị hoàn hảo,positive
thiết bị này thật sự chất lượng cao,positive
Trải nghiệm với trò chơi rất tồi tệ,negative
The phone works incredible,positive
dịch vụ này rất tốt,positive
Trải nghiệm với thiết bị rất chất lượng cao,positive
I really like this game,positive
Tôi rất thất vọng với sản phẩm,negative
I regret buying this phone,negative
Đây là một ứng dụng tồi tệ,negative
I regret buying this laptop,negative
thiết bị này thật sự tuyệt vời,positive
This is a very annoying service,negative
I hate this movie,negative
ứng dụng này thật sự thất vọng,negative
This product is absolutely ugly,negative
Tôi rất hài lòng với trò chơi,positive
I am very happy with this product,positive
Tôi rất thích máy tính này,positive
Đây là một trò chơi không đáng tiền,negative
Trải nghiệm với sản phẩm rất không đáng tiền,negative
The device works very cheap,negative
This device is horrible,negative
I love this game,positive
Tôi rất hài lòng với sản phẩm,positive
Trải nghiệm với sản phẩm rất tuyệt vời,positive
Tôi rất thất vọng với điện thoại,negative
This is a very terrible restaurant,negative
This is a very horrible game,negative
The movie works excellent,positive
Đây là một dịch vụ tốt,positive
Tôi rất thất vọng với dịch vụ,negative
máy tính này thật sự xuất sắc,positive
sản phẩm này thật sự tệ,negative
I regret buying this laptop,negative
Tôi rất thất vọng với máy tính,negative
Trải nghiệm với điện thoại rất tốt,positive
dịch vụ này rất đáng tiền,positive
Tôi rất hài lòng với máy tính,positive
I am very disappointed with this service,negative
This product is disappointing,negative
This product feels okay,neutral
Dịch vụ này ổn, không tốt cũng không xấu,neutral
Tôi thấy sản phẩm này bình thường,neutral
This app is neither great nor terrible,neutral
Sản phẩm này ở mức trung tính,neutral
dịch vụ này thật sự tệ,negative
This restaurant is cheap,negative
Trải nghiệm với dịch vụ rất tuyệt vời,positive
This service is useless,negative
trò chơi này thật sự chất lượng cao,positive
Tôi rất thất vọng với ứng dụng,negative
I really like this service,positive
Tôi rất hài lòng với máy tính,positive
máy tính này rất rất tệ,negative
trò chơi này rất tồi tệ,negative
máy tính này thật sự thất vọng,negative
Trải nghiệm với dịch vụ rất tồi tệ,negative
Trải nghiệm với sản phẩm rất thất vọng,negative
I am very disappointed with this app,negative
Trải nghiệm với điện thoại rất kém,negative
Tôi ghét máy tính này,negative
máy tính này rất tốt,positive
I am very disappointed with this device,negative
Đây là một sản phẩm rất ổn,positive
Trải nghiệm với thiết bị rất rất ổn,positive
I am very disappointed with this service,negative
trò chơi này rất không đáng tiền,negative
Đây là một máy tính chất lượng cao,positive
Tôi rất hài lòng với sản phẩm,positive
This is a amazing laptop,positive
trò chơi này rất chất lượng cao,positive
Tôi rất hài lòng với điện thoại,positive
Tôi rất thất vọng với trò chơi,negative
Đây là một dịch vụ hoàn hảo,positive
thiết bị này rất tồi tệ,negative
Trải nghiệm với thiết bị rất không đáng tiền,negative
This restaurant is absolutely outstanding,positive
trò chơi này rất tốt,positive
This laptop is absolutely terrible,negative
sản phẩm này thật sự hoàn hảo,positive
This movie is absolutely bad,negative
I love this product,positive
Trải nghiệm với điện thoại rất kém,negative
Tôi rất thất vọng với điện thoại,negative
Tôi rất thất vọng với máy tính,negative
I love this movie,positive
This app is brilliant,positive
The laptop works very terrible,negative
This movie is absolutely nice,positive
Trải nghiệm với dịch vụ rất tuyệt vời,positive
Đây là một thiết bị xuất sắc,positive
Tôi rất thích trò chơi này,positive
Tôi rất thất vọng với ứng dụng,negative
This phone is absolutely disappointing,negative
The phone works brilliant,positive
This is a excellent device,positive
Tôi ghét sản phẩm này,negative
I hate this product,negative
This movie is absolutely poor,negative
Tôi rất thất vọng với dịch vụ,negative
dịch vụ này thật sự đáng tiền,positive
This is a wonderful item,positive
This phone is absolutely fantastic,positive
I am very disappointed with this laptop,negative
điện thoại này rất rất tệ,negative
This item is amazing,positive
Tôi rất hài lòng với điện thoại,positive
I really like this game,positive
This is a very bad product,negative
I really like this app,positive
Trải nghiệm với trò chơi rất tồi tệ,negative
I am very happy with this phone,positive
The device works very disappointing,negative
Đây là một máy tính không đáng tiền,negative
Trải nghiệm với sản phẩm rất xuất sắc,positive
I hate this game,negative
Đây là một máy tính hoàn hảo,positive
Đây là một trò chơi tệ,negative
Tôi ghét thiết bị này,negative
This device is outstanding,positive
I regret buying this restaurant,negative
I love this movie,positive
I am very happy with this phone,positive
This restaurant is ugly,negative
This phone is bad,negative
This is a very terrible device,negative
The movie works wonderful,positive
Đây là một điện thoại kém,negative
This device is absolutely outstanding,positive
Tôi rất thích dịch vụ này,positive
trò chơi này thật sự rất ổn,positive
This is a very ugly game,negative
Trải nghiệm với sản phẩm rất xuất sắc,positive
Tôi rất thích điện thoại này,positive
sản phẩm này thật sự hoàn hảo,positive
Tôi rất thích điện thoại này,positive
Đây là một máy tính kém,negative
Trải nghiệm với ứng dụng rất thất vọng,negative
The restaurant works very poor,negative
This is a very bad service,negative
I really like this device,positive
This is a very cheap movie,negative
This is a very poor product,negative
Tôi ghét máy tính này,negative
This is a very ugly device,negative
I am very disappointed with this device,negative
I am very happy with this item,positive
Trải nghiệm với dịch vụ rất tệ,negative
sản phẩm này thật sự rất kém,negative
I regret buying this laptop,negative
I really like this service,positive
sản phẩm này rất tồi tệ,negative
Trải nghiệm với thiết bị rất hoàn hảo,positive
I am very disappointed with this device,negative
The item works incredible,positive
Tôi ghét ứng dụng này,negative
This movie is excellent,positive
This is a very terrible laptop,negative
Tôi rất hài lòng với sản phẩm,positive
điện thoại này thật sự chất lượng cao,positive
ứng dụng này rất đáng tiền,positive
Đây là một điện thoại rất ổn,positive
I really like this phone,positive
I hate this device,negative
I really like this movie,positive
Tôi rất thất vọng với sản phẩm,negative
I am very happy with this game,positive
The game works wonderful,positive
I am very disappointed with this laptop,negative
I regret buying this laptop,negative
điện thoại này rất không đáng tiền,negative
This is a very bad laptop,negative
This app is absolutely useless,negative
This is a very broken movie,negative
I regret buying this movie,negative
I am very happy with this service,positive
This device is awesome,positive
Đây là một trò chơi rất kém,negative
Đây là một trò chơi không đáng tiền,negative
This item is useless,negative
The app works nice,positive
Tôi rất hài lòng với sản phẩm,positive
This is a superb item,positive
The item works very poor,negative
Đây là một thiết bị đáng tiền,positive
This is a very horrible game,negative
I hate this product,negative
This device is excellent,positive
Tôi rất thích trò chơi này,positive
I am very disappointed with this app,negative
Tôi rất thích máy tính này,positive
I hate this movie,negative
This app is awful,negative
I regret buying this item,negative
I really like this item,positive
I am very happy with this service,positive
Trải nghiệm với trò chơi rất kém,negative
I really like this movie,positive
máy tính này rất tệ,negative
I am very disappointed with this restaurant,negative
I really like this restaurant,positive
I hate this restaurant,negative
I really like this service,positive
I really like this phone,positive
ứng dụng này rất tuyệt vời,positive
This is a very poor restaurant,negative
trò chơi này thật sự thất vọng,negative
Tôi rất thất vọng với máy tính,negative
Tôi rất hài lòng với sản phẩm,positive
This phone is fantastic,positive
This is a perfect laptop,positive
Tôi rất thất vọng với thiết bị,negative
Tôi ghét sản phẩm này,negative
máy tính này rất rất kém,negative
This item is horrible,negative
This is a very disappointing movie,negative
thiết bị này thật sự rất kém,negative
This is a very disappointing device,negative
Trải nghiệm với máy tính rất tồi tệ,negative
This game is great,positive
Trải nghiệm với trò chơi rất tốt,positive
This product is absolutely ugly,negative
Tôi rất thích trò chơi này,positive
This service is incredible,positive
I am very happy with this service,positive
I regret buying this device,negative
Trải nghiệm với điện thoại rất tuyệt vời,positive
This phone is absolutely wonderful,positive
sản phẩm này thật sự rất tệ,negative
I love this device,positive
This item is absolutely disappointing,negative
I am very happy with this app,positive
I really like this game,positive
This restaurant is poor,negative
thiết bị này rất xuất sắc,positive
This is a very broken laptop,negative
trò chơi này thật sự xuất sắc,positive
Tôi rất thích dịch vụ này,positive
I am very disappointed with this laptop,negative
I hate this game,negative
I regret buying this product,negative
Đây là một máy tính tồi tệ,negative
This product is absolutely ugly,negative
Tôi rất hài lòng với sản phẩm,positive
I love this restaurant,positive
Đây là một trò chơi không đáng tiền,negative
Tôi rất thất vọng với điện thoại,negative
Trải nghiệm với ứng dụng rất kém,negative
máy tính này thật sự tốt,positive
trò chơi này rất tuyệt vời,positive
Tôi rất thất vọng với sản phẩm,negative
I am very disappointed with this laptop,negative
I really like this movie,positive
Đây là một điện thoại kém,negative
I am very disappointed with this movie,negative
trò chơi này thật sự rất ổn,positive
Đây là một ứng dụng rất kém,negative
I am very happy with this laptop,positive
I am very disappointed with this movie,negative
thiết bị này thật sự không đáng tiền,negative
Đây là một thiết bị tồi tệ,negative
I love this movie,positive
Trải nghiệm với trò chơi rất thất vọng,negative
Tôi rất hài lòng với dịch vụ,positive
Tôi rất thích ứng dụng này,positive
Tôi ghét thiết bị này,negative
This is a very broken service,negative
Tôi ghét thiết bị này,negative
The app works awesome,positive
Đây là một trò chơi chất lượng cao,positive
dịch vụ này thật sự đáng tiền,positive
máy tính này rất hoàn hảo,positive
Trải nghiệm với thiết bị rất hoàn hảo,positive
I love this service,positive
I love this laptop,positive
dịch vụ này thật sự chất lượng cao,positive
I am very disappointed with this app,negative
This restaurant is bad,negative
máy tính này rất đáng tiền,positive
Đây là một ứng dụng xuất sắc,positive
điện thoại này rất rất ổn,positive
I regret buying this product,negative
This restaurant is worst,negative
This phone is worst,negative
Tôi rất thất vọng với điện thoại,negative
Tôi ghét dịch vụ này,negative
điện thoại này thật sự chất lượng cao,positive
Tôi ghét thiết bị này,negative
Tôi rất thích thiết bị này,positive
sản phẩm này thật sự tốt,positive
This phone is cheap,negative
This product is absolutely ugly,negative
I really like this item,positive
The movie works incredible,positive
Tôi ghét trò chơi này,negative
I am very happy with this app,positive
Tôi rất hài lòng với sản phẩm,positive
Trải nghiệm với thiết bị rất đáng tiền,positive
Trải nghiệm với dịch vụ rất đáng tiền,positive
thiết bị này thật sự đáng tiền,positive
Tôi rất hài lòng với ứng dụng,positive
Tôi rất hài lòng với điện thoại,positive
This restaurant is beautiful,positive
This is a incredible device,positive
I am very disappointed with this device,negative
The game works great,positive
This restaurant is awful,negative
Tôi rất thất vọng với thiết bị,negative
Đây là một thiết bị tệ,negative
Tôi rất hài lòng với sản phẩm,positive
Tôi rất thất vọng với ứng dụng,negative
Đây là một điện thoại rất ổn,positive
dịch vụ này thật sự hoàn hảo,positive
The phone works very disappointing,negative
Trải nghiệm với ứng dụng rất tốt,positive
điện thoại này rất đáng tiền,positive
I am very disappointed with this phone,negative
Tôi rất hài lòng với trò chơi,positive
Tôi ghét ứng dụng này,negative
I am very disappointed with this phone,negative
This is a very poor item,negative
Tôi rất hài lòng với máy tính,positive
máy tính này thật sự đáng tiền,positive
Đây là một máy tính thất vọng,negative
Trải nghiệm với ứng dụng rất tệ,negative
Trải nghiệm với trò chơi rất xuất sắc,positive
I really like this item,positive
Tôi rất thích ứng dụng này,positive
This is a outstanding service,positive
I am very disappointed with this product,negative
điện thoại này thật sự kém,negative
Trải nghiệm với máy tính rất hoàn hảo,positive
Trải nghiệm với ứng dụng rất rất kém,negative
I hate this product,negative
điện thoại này thật sự tồi tệ,negative
This is a very useless phone,negative
This is a very bad laptop,negative
Tôi rất hài lòng với máy tính,positive
This is a very horrible phone,negative
The item works awesome,positive
Tôi rất thất vọng với máy tính,negative
Trải nghiệm với thiết bị rất hoàn hảo,positive
Tôi rất hài lòng với điện thoại,positive
Tôi rất thích trò chơi này,positive
This restaurant is absolutely cheap,negative
I am very disappointed with this laptop,negative
This phone is awful,negative
Trải nghiệm với thiết bị rất rất ổn,positive
I am very disappointed with this product,negative
Đây là một dịch vụ tồi tệ,negative
điện thoại này thật sự rất tệ,negative
The restaurant works amazing,positive
ứng dụng này rất rất ổn,positive
Trải nghiệm với trò chơi rất thất vọng,negative
Tôi ghét thiết bị này,negative
This app is broken,negative
This is a very broken app,negative
I love this restaurant,positive
This device is excellent,positive
I love this phone,positive
Trải nghiệm với máy tính rất rất tệ,negative
This item is absolutely outstanding,positive
I am very disappointed with this app,negative
điện thoại này thật sự không đáng tiền,negative
Tôi ghét dịch vụ này,negative
Tôi rất thất vọng với sản phẩm,negative
máy tính này thật sự tệ,negative
Trải nghiệm với thiết bị rất rất kém,negative
I am very happy with this product,positive
Trải nghiệm với máy tính rất không đáng tiền,negative
This is a very bad device,negative
Tôi rất hài lòng với thiết bị,positive
I love this service,positive
This service is absolutely beautiful,positive
Đây là một máy tính rất kém,negative
I regret buying this service,negative
Tôi ghét máy tính này,negative
Trải nghiệm với dịch vụ rất tuyệt vời,positive
The item works superb,positive
Tôi rất hài lòng với điện thoại,positive
I really like this laptop,positive
Trải nghiệm với máy tính rất tồi tệ,negative
Tôi ghét trò chơi này,negative
I regret buying this service,negative
I am very happy with this app,positive
sản phẩm này thật sự xuất sắc,positive
The game works very horrible,negative
This movie is absolutely amazing,positive
máy tính này thật sự đáng tiền,positive
I am very disappointed with this item,negative
Trải nghiệm với sản phẩm rất tuyệt vời,positive
I love this device,positive
Tôi ghét dịch vụ này,negative
This is a fantastic movie,positive
The app works excellent,positive
Tôi rất thất vọng với trò chơi,negative
Trải nghiệm với thiết bị rất rất kém,negative
Tôi rất thất vọng với trò chơi,negative
The restaurant works superb,positive
I regret buying this restaurant,negative
The restaurant works nice,positive
Trải nghiệm với dịch vụ rất xuất sắc,positive
I hate this laptop,negative
I love this phone,positive
Tôi rất thích điện thoại này,positive
I hate this game,negative
Đây là một thiết bị rất ổn,positive
This is a fantastic product,positive
Tôi rất thích sản phẩm này,positive
Tôi ghét thiết bị này,negative
I regret buying this item,negative
The service works wonderful,positive
I am very happy with this item,positive
This app is absolutely superb,positive
I am very happy with this laptop,positive
Đây là một ứng dụng chất lượng cao,positive
Tôi ghét trò chơi này,negative
This movie is absolutely disappointing,negative
dịch vụ này thật sự tồi tệ,negative
I really like this game,positive
ứng dụng này rất tuyệt vời,positive
ứng dụng này thật sự tuyệt vời,positive
Đây là một dịch vụ rất ổn,positive
Đây là một dịch vụ rất tệ,negative
This is a nice product,positive
ứng dụng này rất hoàn hảo,positive
trò chơi này rất tốt,positive
I am very happy with this device,positive
I am very disappointed with this product,negative
I am very disappointed with this movie,negative
máy tính này thật sự hoàn hảo,positive
I really like this item,positive
I am very disappointed with this game,negative
Trải nghiệm với máy tính rất rất ổn,positive
The service works very useless,negative
The app works perfect,positive
This is a very worst movie,negative
This is a very ugly app,negative
This device is absolutely awesome,positive
This is a very awful game,negative
I am very disappointed with this device,negative
I am very happy with this restaurant,positive
This game is absolutely bad,negative
The movie works very annoying,negative
Đây là một ứng dụng tồi tệ,negative
Tôi rất thích điện thoại này,positive
This product is absolutely awful,negative
Tôi rất thích máy tính này,positive
ứng dụng này rất tốt,positive
The app works wonderful,positive
Trải nghiệm với máy tính rất rất tệ,negative
Tôi ghét điện thoại này,negative
This is a great movie,positive
I love this laptop,positive
trò chơi này thật sự kém,negative
sản phẩm này rất kém,negative
I regret buying this restaurant,negative
Tôi ghét máy tính này,negative
This is a very awful app,negative
Tôi rất thích máy tính này,positive
This movie is absolutely perfect,positive
I really like this item,positive
I love this product,positive
ứng dụng này rất chất lượng cao,positive
thiết bị này thật sự tồi tệ,negative
Tôi rất thất vọng với ứng dụng,negative
I am very happy with this game,positive
This app is disappointing,negative
máy tính này thật sự tuyệt vời,positive
The app works excellent,positive
I love this service,positive
Tôi rất hài lòng với thiết bị,positive
This is a awesome game,positive
máy tính này rất xuất sắc,positive
I really like this movie,positive
I am very disappointed with this game,negative
This is a fantastic movie,positive
dịch vụ này rất kém,negative
ứng dụng này rất đáng tiền,positive
This is a very horrible phone,negative
Tôi rất thích dịch vụ này,positive
This game is incredible,positive
Trải nghiệm với điện thoại rất rất kém,negative
sản phẩm này thật sự hoàn hảo,positive
I really like this device,positive
Tôi rất thất vọng với máy tính,negative
The app works fantastic,positive
This laptop is absolutely poor,negative
điện thoại này rất kém,negative
Tôi rất thất vọng với thiết bị,negative
This product is absolutely beautiful,positive
Trải nghiệm với thiết bị rất tốt,positive
Đây là một trò chơi đáng tiền,positive
Đây là một trò chơi xuất sắc,positive
Đây là một dịch vụ tuyệt vời,positive
This movie is awesome,positive
Tôi rất hài lòng với dịch vụ,positive
ứng dụng này rất rất tệ,negative
Đây là một trò chơi hoàn hảo,positive
Trải nghiệm với sản phẩm rất không đáng tiền,negative
This laptop is absolutely poor,negative
This is a incredible device,positive
I really like this item,positive
I am very disappointed with this movie,negative
Trải nghiệm với máy tính rất thất vọng,negative
Tôi rất thích thiết bị này,positive
Đây là một điện thoại rất kém,negative
dịch vụ này rất đáng tiền,positive
Trải nghiệm với điện thoại rất không đáng tiền,negative
The service works very awful,negative
Đây là một điện thoại thất vọng,negative
I hate this restaurant,negative
thiết bị này thật sự rất ổn,positive
ứng dụng này rất tuyệt vời,positive
Trải nghiệm với dịch vụ rất rất tệ,negative
Trải nghiệm với điện thoại rất tồi tệ,negative
I am very happy with this game,positive
I am very disappointed with this service,negative
Tôi ghét ứng dụng này,negative
I am very disappointed with this phone,negative
I regret buying this app,negative
Tôi rất thất vọng với thiết bị,negative
Tôi ghét điện thoại này,negative
The laptop works very horrible,negative
thiết bị này thật sự tồi tệ,negative
I really like this app,positive
điện thoại này thật sự xuất sắc,positive
Đây là một ứng dụng kém,negative
I am very happy with this phone,positive
Tôi ghét thiết bị này,negative
Trải nghiệm với trò chơi rất không đáng tiền,negative
I am very happy with this laptop,positive
The phone works superb,positive
This is a very awful game,negative
Tôi rất hài lòng với điện thoại,positive
This movie is absolutely excellent,positive
Tôi rất thất vọng với dịch vụ,negative
dịch vụ này rất rất kém,negative
I am very happy with this service,positive
I regret buying this movie,negative
This service is great,positive
Đây là một điện thoại rất tệ,negative
Tôi ghét máy tính này,negative
Đây là một điện thoại đáng tiền,positive
This phone is perfect,positive
I am very happy with this laptop,positive
This laptop is broken,negative
I love this phone,positive
The phone works very broken,negative
I really like this app,positive
I am very disappointed with this movie,negative
This item is cheap,negative
Đây là một trò chơi hoàn hảo,positive
I am very disappointed with this game,negative
Trải nghiệm với sản phẩm rất kém,negative
Tôi ghét ứng dụng này,negative
This is a fantastic product,positive
This device is cheap,negative
Tôi ghét trò chơi này,negative
This product is useless,negative
I hate this movie,negative
This is a brilliant movie,positive
Đây là một điện thoại tồi tệ,negative
Trải nghiệm với ứng dụng rất xuất sắc,positive
I really like this game,positive
This phone is absolutely awful,negative
Trải nghiệm với máy tính rất rất ổn,positive
Trải nghiệm với ứng dụng rất chất lượng cao,positive
Tôi rất thích dịch vụ này,positive
This is a excellent service,positive
trò chơi này rất tệ,negative
I really like this phone,positive
I love this item,positive
Đây là một trò chơi rất tệ,negative
This is a wonderful product,positive
Đây là một điện thoại kém,negative
I regret buying this device,negative
điện thoại này rất rất tệ,negative
The laptop works very annoying,negative
This service is superb,positive
The app works fantastic,positive
I regret buying this item,negative
I am very happy with this game,positive
I love this movie,positive
